"tract","Name","Household_Income_rP_gP_p50"
36059303301,"Williston Park, NY",76656
36059406400,"Garden City, NY",76493
36059412700,"Rockville Centre, NY",74257
36059415500,"North Wantagh, Seaford, NY",74182
36081114100,"Queens County, NY",74098
36059415102,"Merrick, NY",73556
36059406501,"Garden City, NY",73355
36059415202,"Merrick, NY",72593
36059405800,"Garden City, NY",72130
36059302101,"Roslyn, NY",72040
36059302700,"North New Hyde Park, NY",71445
36059518204,"Woodbury, NY",71227
36059519703,"Plainview, NY",70965
36059521200,"Massapequa, NY",70489
36059518600,"Jericho, NY",70314
36059415201,"Merrick, NY",70255
36047061200,"Kings County, NY",70098
36103110401,"Huntington, NY",70028
36059518800,"Syosset, NY",69850
36081150702,"Queens County, NY",69775
36059303101,"New Hyde Park, NY",69290
36103111300,"Huntington, NY",69278
36081099703,"Queens County, NY",69237
36059404600,"Floral Park, NY",69213
36081142900,"Queens County, NY",68982
36081157901,"Queens County, NY",68780
36059300600,"Great Neck Plaza, NY",68778
36061000800,"Lower Manhattan, New York, NY",68550
36103134904,"Smithtown, NY",68472
36047065400,"Kings County, NY",68387
36059411902,"Lynbrook, NY",68302
36047056400,"Kings County, NY",68215
36059415802,"Wantagh, NY",68154
36103146704,"West Islip, NY",68101
36059404700,"New Hyde Park, NY",68080
36059302400,"Albertson, NY",67967
36081140902,"Queens County, NY",67930
36059519801,"Plainview, NY",67877
36059412500,"Rockville Centre, NY",67814
36059412600,"Rockville Centre, NY",67811
36047075800,"Kings County, NY",67578
36047066000,"Kings County, NY",67417
36059302800,"North New Hyde Park, NY",67377
36081103300,"Queens County, NY",67343
36059303000,"New Hyde Park, NY",67254
36081109900,"Queens County, NY",67164
36047064400,"Kings County, NY",67125
36081099705,"Queens County, NY",67007
36103112212,"Dix Hills, NY",67001
36047041200,"Kings County, NY",66979
36059301700,"Manhasset, NY",66950
36103112204,"Melville, NY",66874
36047057600,"Kings County, NY",66826
36081066501,"Queens County, NY",66732
36059518501,"Jericho, NY",66695
36081129102,"Queens County, NY",66610
36047054800,"Kings County, NY",66591
36103111802,"East Northport, NY",66494
36103134704,"Kings Park, NY",66477
36081097300,"Queens County, NY",66366
36081112900,"Queens County, NY",66278
36047062000,"Kings County, NY",66247
36047068600,"Kings County, NY",66096
36059517500,"Glen Head, NY",66054
36059302300,"Albertson, NY",66048
36059519601,"Plainview, NY",66046
36059413002,"Oceanside, NY",66039
36047037000,"Kings County, NY",66022
36081092800,"Queens County, NY",66015
36081138501,"Queens County, NY",66009
36059302501,"Roslyn Heights, NY",66009
36047070201,"Kings County, NY",65902
36047044600,"Kings County, NY",65859
36103110200,"Huntington, NY",65855
36061001800,"Lower Manhattan, New York, NY",65811
36061006000,"Midtown, New York, NY",65790
36047056200,"Kings County, NY",65775
36081074700,"Queens County, NY",65752
36081064101,"Queens County, NY",65697
36059519500,"Hicksville, Hicksville, NY",65636
36081133900,"Queens County, NY",65415
36059519802,"Plainview, NY",65381
36059300100,"Kings Point, NY",65258
36047042600,"Kings County, NY",65250
36081157101,"Bellerose Manor, Bellerose, NY",65211
36081091601,"Queens County, NY",65133
36081099701,"Queens County, NY",65116
36081119300,"Queens County, NY",65089
36103135103,"Commack, NY",65043
36081141700,"Queens County, NY",64973
36059519704,"Plainview, NY",64889
36005027401,"Bronx County, NY",64855
36059521802,"Massapequa Park, NY",64835
36081136700,"Queens County, NY",64796
36081049500,"Queens County, NY",64755
36059416000,"Seaford, NY",64730
34003049002,"River Vale, NJ",64724
36081072300,"Queens County, NY",64650
36059405301,"Franklin Square, NY",64444
36081101700,"Queens County, NY",64442
36059520700,"Massapequa, NY",64434
36061001600,"Chinatown, New York, NY",64432
36119005001,"Scarsdale, NY",64424
36059517701,"Glen Head, NY",64355
36103110502,"Greenlawn, NY",64340
36047039000,"Kings County, NY",64254
36047055000,"Kings County, NY",64217
36081103900,"Queens County, NY",64151
36081060300,"Queens County, NY",64126
36081069500,"Queens County, NY",64097
36059521302,"Massapequa, NY",64049
36081113300,"Queens County, NY",64022
36081073100,"Queens County, NY",63978
36047035000,"Kings County, NY",63977
36059304001,"Westbury, NY",63967
36119005500,"Pelham, Pelham Manor, NY",63903
36059300900,"Manhasset, NY",63873
36047041000,"Kings County, NY",63868
36103111803,"East Northport, NY",63858
36081152902,"Queens County, NY",63786
36059303800,"Carle Place, NY",63771
36081145900,"Queens County, NY",63700
36059415700,"Wantagh, NY",63679
36081051100,"Queens County, NY",63630
36081069702,"Queens County, NY",63616
36119005200,"Bronxville, NY",63616
36059520002,"Bethpage, NY",63606
36059408000,"East Meadow, NY",63599
36103110101,"Lloyd Harbor, NY",63594
36047075400,"Kings County, NY",63557
36081133300,"Queens County, NY",63534
36047057400,"Kings County, NY",63512
36059410600,"Valley Stream, NY",63503
36059520100,"Old Bethpage, NY",63457
36059517600,"Glen Head, NY",63387
36081071304,"Queens County, NY",63337
34003055100,"Tenafly, NJ",63044
36103110102,"Cold Spring Harbor, NY",63041
36059408400,"Merrick, NY",63036
36081144100,"Queens County, NY",62966
36103112213,"Dix Hills, NY",62939
36103135301,"Smithtown, NY",62938
36081115700,"Queens County, NY",62918
36081122300,"Queens County, NY",62902
36047035602,"Kings County, NY",62896
36059405500,"Franklin Square, NY",62869
36059301600,"Manhasset, NY",62825
36047030600,"Kings County, NY",62818
36059301102,"Port Washington, NY",62783
36059301900,"Manhasset, NY",62781
36081048900,"Queens County, NY",62729
36059406300,"Garden City, NY",62691
36081066300,"Queens County, NY",62656
