"tract","Name","Household_Income_rP_gP_p75"
36103135209,"Hauppauge, NY",71307
36005044902,"Bronx County, NY",71287
36059410100,"Malverne, NY",71251
36103111803,"East Northport, NY",71224
36103134904,"Smithtown, NY",71219
36047060000,"Kings County, NY",71194
36059301900,"Manhasset, NY",71165
36059405301,"Franklin Square, NY",71148
36059302900,"North New Hyde Park, NY",71121
36059416000,"Seaford, NY",71109
36081001900,"Queens County, NY",71084
36059520800,"North Massapequa, NY",71031
36119005500,"Pelham, Pelham Manor, NY",70983
36081109900,"Queens County, NY",70966
36081049500,"Queens County, NY",70934
36059300400,"Great Neck, NY",70928
36059408100,"East Meadow, NY",70900
36119008500,"Rye, NY",70894
36059415600,"Wantagh, NY",70891
36103110102,"Cold Spring Harbor, NY",70888
36081103900,"Queens County, NY",70882
36047075600,"Kings County, NY",70858
36059300500,"Great Neck, NY",70847
36047045600,"Kings County, NY",70828
36059521801,"Massapequa, NY",70820
36059303302,"Williston Park, NY",70803
36059408200,"East Meadow, NY",70802
36047063600,"Kings County, NY",70792
36081089200,"Queens County, NY",70791
36059518502,"Jericho, NY",70775
36059413200,"Oceanside, NY",70771
36081108500,"Queens County, NY",70761
36059413804,"Baldwin, NY",70738
36059302102,"Roslyn Heights, NY",70707
36119002405,"Dunwoodie, Yonkers, NY",70693
34003049002,"River Vale, NJ",70641
36081017900,"Queens County, NY",70596
36059410600,"Valley Stream, NY",70575
36059517705,"Glen Head, NY",70554
36047057400,"Kings County, NY",70513
36081140300,"Queens County, NY",70493
36059518700,"Syosset, NY",70454
36059416801,"Long Beach, NY",70441
36047039200,"Kings County, NY",70409
36103111900,"Huntington, NY",70403
36059521000,"North Massapequa, NY",70388
36119001700,"Bryn Mawr, Yonkers, NY",70385
36047041402,"Kings County, NY",70376
36047035000,"Kings County, NY",70350
36059411800,"Lynbrook, NY",70347
36047041000,"Kings County, NY",70346
36119007700,"Rye, NY",70325
36059415101,"Merrick, NY",70309
36119010000,"Scarsdale, NY",70273
36081152902,"Queens County, NY",70250
36081099100,"Queens County, NY",70228
36005030900,"Bronx County, NY",70216
36081077907,"Queens County, NY",70214
36059303202,"Garden City Park, NY",70199
36047026800,"Kings County, NY",70181
36081144100,"Queens County, NY",70156
36059406001,"West Hempstead, NY",70152
36081109700,"Queens County, NY",70147
36005018400,"Bronx County, NY",70142
36059406300,"Garden City, NY",70066
36119009800,"Scarsdale, NY",70051
36059518300,"Syosset, NY",70032
36059519900,"Bethpage, NY",70001
36103145803,"Hauppauge, NY",69992
36081064500,"Queens County, NY",69984
36081075702,"Queens County, NY",69955
36047039000,"Kings County, NY",69940
36047057600,"Kings County, NY",69906
36103146704,"West Islip, NY",69906
36081157903,"Bellerose Manor, Floral Park, NY",69843
36081157902,"Queens County, NY",69809
36059410900,"Valley Stream, NY",69796
36005016400,"Bronx County, NY",69783
36103110200,"Huntington, NY",69780
36059520001,"Bethpage, NY",69759
34003045100,"Ridgefield, NJ",69747
36119010701,"Scarsdale, NY",69673
36059303700,"Mineola, NY",69616
36103146800,"West Islip, NY",69601
36081122300,"Queens County, NY",69508
34003006100,"Cliffside Park, NJ",69504
36103146705,"West Islip, NY",69426
36081060300,"Queens County, NY",69421
36059414600,"North Merrick, NY",69420
36081066100,"Queens County, NY",69404
36081063700,"Queens County, NY",69383
36047065800,"Kings County, NY",69360
36059517801,"Locust Valley, NY",69353
36059518100,"East Norwich, NY",69342
36059405700,"Franklin Square, NY",69331
36059404400,"Floral Park, NY",69313
36081011500,"Queens County, NY",69299
36081124700,"Queens County, NY",69267
36081113300,"Queens County, NY",69225
36081137700,"Queens County, NY",69165
36059521400,"Massapequa, NY",69162
36059412100,"East Rockaway, NY",69137
36081150701,"Queens County, NY",69129
