"tract","Name","Household_Income_rP_gP_p50"
24005403803,"Pikesville, MD",76133
24005491000,"Baltimore, MD",64766
24005403601,"Baltimore, MD",62646
24005403500,"Pikesville, MD",62352
24005411309,"Perry Hall, MD",59133
24510271400,"Evergreen, Baltimore, MD",58239
24005490601,"Baltimore, MD",57371
24027601104,"Ellicott City, MD",56861
24005490602,"Baltimore, MD",56797
24005490603,"Baltimore, MD",55883
24510271501,"Mount Washington, Baltimore, MD",55109
24005403701,"Owings Mills, MD",54927
24005400400,"Catonsville, MD",54472
24005490500,"Towson, MD",54419
24005490800,"Towson, MD",54322
24005403602,"Baltimore, MD",54218
24027602700,"Taylor Village, Ellicott City, MD",53381
24005411308,"Nottingham, MD",52938
24005491100,"Baltimore, MD",52549
24005430600,"Relay, Halethorpe, MD",52435
24005400100,"Catonsville, MD",52315
24005411303,"Nottingham, MD",51741
24005492001,"Parkville, MD",51443
24027601103,"West Elkridge, Elkridge, MD",51198
24510020300,"Fells Point, Baltimore, MD",51087
24005440500,"Nottingham, MD",51051
24005492002,"Parkville, MD",50764
24005411307,"Nottingham, MD",50309
24005491900,"Parkville, MD",50103
24027601105,"Ellicott City, MD",49769
24510271200,"Homeland, Baltimore, MD",49581
24003750400,"Linthicum Heights, MD",49275
24027602600,"Ellicott City, MD",49068
24005411306,"Nottingham, MD",48984
24005440200,"Nottingham, MD",48738
24027602800,"Ellicott City, MD",48616
24005401503,"Catonsville, MD",48556
24027601108,"Ellicott City, MD",48464
24510240200,"Riverside, Baltimore, MD",47879
24005491202,"Towson, MD",47838
24005440100,"Baltimore, MD",47488
24005420702,"Dundalk, MD",47463
24510120202,"Baltimore, MD",47462
24005403401,"Pikesville, MD",47419
24005401400,"Catonsville, MD",47297
24005400500,"Catonsville, MD",47290
24005491500,"Parkville, MD",46983
24510270703,"North Harford Road, Baltimore, MD",46982
24005401000,"Catonsville, MD",46961
24027602900,"Normandy, Ellicott City, MD",46160
24005492101,"Parkville, MD",46131
24005401504,"Catonsville, MD",45429
24027606706,"Kendall Ridge, Columbia, MD",45375
24005411408,"Nottingham, MD",45372
24510270501,"Woodring, Baltimore, MD",45324
24005411407,"Parkville, MD",45103
24003750804,"Glen Burnie, MD",44983
24005420500,"Baltimore, MD",44880
24005441101,"Rosedale, MD",44858
24003731308,"Pasadena, MD",44727
24005451900,"Edgemere, MD",44611
24005440800,"Rosedale, MD",44548
24005430400,"Halethorpe, MD",44463
24005451000,"Essex, MD",44406
24005411302,"White Marsh, MD",44304
24027601204,"Elkridge, MD",44280
24005451200,"Middle River, MD",44256
24005492102,"Parkville, MD",44222
24005403402,"Pikesville, MD",44149
24005440900,"Rosedale, MD",43887
24005403300,"Lochearn, Pikesville, MD",43768
24005450900,"Essex, MD",43708
24005400200,"Catonsville, MD",43641
24003750801,"Glen Burnie, MD",43486
24003740102,"Hanover, MD",43477
24005400702,"Baltimore, MD",43428
24005451702,"Middle River, MD",43332
24005440400,"Baltimore, MD",43306
24027601201,"Elkridge, MD",43282
24005430700,"Halethorpe, MD",43242
24005430800,"Halethorpe, MD",43122
24005451701,"Middle River, MD",43008
24003751200,"Linthicum Heights, MD",43008
24005452400,"Dundalk, MD",42915
24005400800,"Catonsville, MD",42784
24005451802,"Middle River, MD",42718
24005491300,"Baltimore, MD",42623
