tract,Name,City,State,Household_Income_rP_gP_p25
24510000000,Lexington, Baltimore, MD,20987
24510000000,Frankford, Baltimore, MD,20948
24510000000,Poppleton, Baltimore, MD,20927
24510000000,Downtown, Baltimore, MD,20917
24510000000,Curtis Bay, Baltimore, MD,20852
24510000000,Downtown, Baltimore, MD,20661
24510000000,Greenmount West, Baltimore, MD,20606
24510000000,Rosemont, Baltimore, MD,20579
24510000000,Coldstream - Homestead - Montebello, Baltimore, MD,20574
24510000000,Belair - Edison, Baltimore, MD,20561
24510000000,Sandtown-Winchester, Baltimore, MD,20511
24510000000,Central Park Heights, Baltimore, MD,20471
24005000000,Gwynn Oak, Baltimore, MD,20432
24510000000,Harwood, Baltimore, MD,20344
24510000000,Sandtown-Winchester, Baltimore, MD,20264
24510000000,Langston Hughes, Baltimore, MD,20225
24510000000,Edgecomb, Baltimore, MD,20121
24510000000,Reservoir Hill, Baltimore, MD,20100
24510000000,Berea, Baltimore, MD,20068
24510000000,Broadway East, Baltimore, MD,20014
24510000000,Harlem Park, Baltimore, MD,20000
24510000000,O'Donnell Heights, Baltimore, MD,19950
24510000000,Mount Clare, Baltimore, MD,19948
24510000000,Perkins Homes, Baltimore, MD,19841
24510000000,Pratt Monroe, Baltimore, MD,19811
24510000000,Butchers Hill, Baltimore, MD,19777
24510000000,Brooklyn, Baltimore, MD,19736
24510000000,Midtown Edmondson, Baltimore, MD,19728
24510000000,McCulloh Homes, Baltimore, MD,19719
24510000000,Upton, Baltimore, MD,19699
24510000000,Bentalou-Smallwood, Baltimore, MD,19697
24510000000,Broadway East, Baltimore, MD,19679
24510000000,Coldstream - Homestead - Montebello, Baltimore, MD,19677
24510000000,NW Community Action, Baltimore, MD,19552
24510000000,Cherry Hill, Baltimore, MD,19508
24510000000,Claremont - Freedom, Baltimore, MD,19396
24510000000,Penn North, Baltimore, MD,19377
24510000000,Sandtown-Winchester, Baltimore, MD,19311
24510000000,Belair - Edison, Baltimore, MD,19078
24510000000,Broadway East, Baltimore, MD,19032
24510000000,Mondawmin, Baltimore, MD,19004
24510000000,Upton, Baltimore, MD,18934
24510000000,Mill Hill, Baltimore, MD,18890
